Index,Team
1,Abilene Christian
2,Alabama A&M
3,Alabama State
4,Albany
5,Alcorn State
6,Arkansas–Pine Bluff
7,Austin Peay
8,Bethune–Cookman
9,Brown
10,Bryant
11,Bucknell
12,Butler
13,Cal Poly
14,Campbell
15,Central Arkansas
16,Central Connecticut
17,Charleston Southern
18,Chattanooga
19,The Citadel
20,Colgate
21,Columbia
22,Cornell
23,Dartmouth
24,Davidson
25,Dayton
26,Delaware
27,Delaware State
28,Drake
29,Duquesne
30,East Tennessee State
31,Eastern Illinois
32,Eastern Kentucky
33,Eastern Washington
34,Elon
35,Florida A&M
36,Fordham
37,Furman
38,Gardner–Webb
39,Georgetown
40,Grambling State
41,Hampton
42,Harvard
43,Holy Cross
44,Houston Christian
45,Howard
46,Idaho
47,Idaho State
48,Illinois State
49,Incarnate Word
50,Indiana State
51,Jackson State
52,Lafayette
53,Lamar
54,Lehigh
55,Maine
56,Marist
57,McNeese
58,Mercer
59,Merrimack
60,Mississippi Valley State
61,Missouri State
62,Monmouth
63,Montana
64,Montana State
65,Morehead State
66,Morgan State
67,Murray State
68,New Hampshire
69,Nicholls
70,Norfolk State
71,North Alabama
72,North Carolina A&T
73,North Carolina Central
74,North Dakota
75,North Dakota State
76,Northern Arizona
77,Northern Colorado
78,Northern Iowa
79,Northwestern State
80,Penn
81,Portland State
82,Prairie View A&M
83,Presbyterian
84,Princeton
85,Rhode Island
86,Richmond
87,Robert Morris
88,Sacramento State
89,Sacred Heart
90,Saint Francis (PA)
91,Samford
92,San Diego
93,South Carolina State
94,South Dakota
95,South Dakota State
96,Southeast Missouri State
97,Southeastern Louisiana
98,Southern
99,Southern Illinois
100,Southern Utah
101,Stephen F. Austin
102,Stetson
103,Stony Brook
104,Tarleton
105,Tennessee State
106,Tennessee Tech
107,Texas Southern
108,Towson
109,UC Davis
110,UT Martin
111,Utah Tech
112,Valparaiso
113,Villanova
114,VMI
115,Wagner
116,Weber State
117,Western Carolina
118,Western Illinois
119,William & Mary
120,Wofford
121,Yale
122,Youngstown State
